id,room_number,room_type,price,area,status,description
"ffd613a1-786a-4248-8ca7-7c778de0f6a7","130","Phòng Đôi","4000000","15","RENTED","Phòng đầy đủ nội thất cơ bản"
"3e9ff253-a04e-485f-a1c3-a1f310e2fa9c","131","Phòng Đôi","3000000","15","RENTED","Phòng đầy đủ nội thất cơ bản"
"24aac2b9-de1e-4585-9233-1e621efa00d1","132","Phòng Đôi","6000000","18","RENTED","Phòng đầy đủ nội thất cơ bản"
"e8065812-e6bf-4953-8b2a-19bce6aca747","133","Căn Hộ Mini","7000000","30","RENTED","Phòng đầy đủ nội thất cơ bản"
"4c2c06e3-3e21-4d17-98d3-c11c8bb6a671","134","Phòng Đôi","6000000","22","RENTED","Phòng đầy đủ nội thất cơ bản"
"e3555f04-0399-4a32-aec9-62d7b2e3220c","135","Phòng Đơn","5000000","29","RENTED","Phòng đầy đủ nội thất cơ bản"
"bf4d160d-3f57-49ac-aeb6-2caf2122190b","136","Phòng Đôi","3000000","30","RENTED","Phòng đầy đủ nội thất cơ bản"
"39191858-03e6-46a7-8f47-03a45cd261c8","137","Căn Hộ Mini","7000000","28","RENTED","Phòng đầy đủ nội thất cơ bản"
"49fa9772-3976-430b-96bf-41e3dd6c6133","138","Phòng Đơn","5000000","32","RENTED","Phòng đầy đủ nội thất cơ bản"
"3d3b447e-d335-408f-9ed8-75e7059d9c35","139","Studio","3000000","27","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"b63a4555-2122-4bb5-a26e-2a1d97b24564","140","Căn Hộ Mini","4000000","31","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"3d2054c9-24fb-4164-a271-d69a85f02977","141","Phòng Đôi","5000000","32","RENTED","Phòng đầy đủ nội thất cơ bản"
"9ae1f7ff-8078-4132-a6ef-6c8047c51e95","142","Phòng Đôi","7000000","32","RENTED","Phòng đầy đủ nội thất cơ bản"
"27e94b72-7ca6-4703-ad77-052d74b35a9b","143","Căn Hộ Mini","3000000","29","RENTED","Phòng đầy đủ nội thất cơ bản"
"cb9917b3-2317-46a5-bc71-c3df55ea97d2","144","Phòng Đôi","6000000","29","RENTED","Phòng đầy đủ nội thất cơ bản"
"5263065b-851f-4e28-a81e-eb6fe268dc32","145","Studio","5000000","34","RENTED","Phòng đầy đủ nội thất cơ bản"
"dbae9b50-3126-453c-971d-824427227717","146","Phòng Đôi","3000000","17","MAINTENANCE","Phòng đầy đủ nội thất cơ bản"
"b1e8b01f-65f8-4940-9870-79699af8e425","147","Phòng Đôi","6000000","33","MAINTENANCE","Phòng đầy đủ nội thất cơ bản"
"0201759b-4db1-4752-b05b-06434a3f27f0","148","Studio","5000000","34","MAINTENANCE","Phòng đầy đủ nội thất cơ bản"
"90a34ee0-401a-468c-a6ad-c9ea40a070ee","149","Studio","5000000","32","MAINTENANCE","Phòng đầy đủ nội thất cơ bản"
"d3ace2f5-9a26-4bfd-a52a-eb79fa6d59f9","150","Căn Hộ Mini","6000000","16","MAINTENANCE","Phòng đầy đủ nội thất cơ bản"
